,nid,pitch,onset,duration,ts,label,duration_basis.duration,fermata_basis.fermata,grace_basis.grace_note,grace_basis.n_grace,grace_basis.grace_pos,onset_basis.onset,onset_basis.score_position,polynomial_pitch_basis.pitch,polynomial_pitch_basis.pitch^2,polynomial_pitch_basis.pitch^3,relative_score_position_basis.score_position,slur_basis.slur_incr,slur_basis.slur_decr,time_signature_basis.time_signature_num_1,time_signature_basis.time_signature_num_2,time_signature_basis.time_signature_num_3,time_signature_basis.time_signature_num_4,time_signature_basis.time_signature_num_5,time_signature_basis.time_signature_num_6,time_signature_basis.time_signature_num_7,time_signature_basis.time_signature_num_8,time_signature_basis.time_signature_num_9,time_signature_basis.time_signature_num_10,time_signature_basis.time_signature_num_11,time_signature_basis.time_signature_num_12,time_signature_basis.time_signature_num_other,time_signature_basis.time_signature_den_1,time_signature_basis.time_signature_den_2,time_signature_basis.time_signature_den_4,time_signature_basis.time_signature_den_8,time_signature_basis.time_signature_den_16,time_signature_basis.time_signature_den_other,vertical_neighbor_basis.n_total,vertical_neighbor_basis.n_above,vertical_neighbor_basis.n_below,vertical_neighbor_basis.highest_pitch,vertical_neighbor_basis.lowest_pitch,vertical_neighbor_basis.pitch_range
0,0,69.0,0.0,2.0,4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,0.0
1,1,65.0,2.0,2.0,4,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.003703703638166189,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.003703703638166189,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,0.0
2,2,50.0,0.0,2.0,4,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.007407407276332378,0.3937007874015748,0.15500031000062,0.06102374409473228,0.007407407276332378,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,62.0,50.0,12.0
3,3,53.0,0.0,2.0,4,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.007407407276332378,0.41732283464566927,0.17415834831669663,0.07268025559673166,0.007407407276332378,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,62.0,50.0,12.0
4,4,57.0,0.0,4.0,4,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.007407407276332378,0.44881889763779526,0.20143840287680576,0.09040936192108605,0.007407407276332378,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,62.0,50.0,12.0
5,5,62.0,0.0,5.0,4,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.007407407276332378,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.007407407276332378,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,62.0,50.0,12.0
6,6,48.0,2.0,2.0,4,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.011111111380159855,0.3779527559055118,0.1428482856965714,0.05398990325539706,0.011111111380159855,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,54.0,48.0,6.0
7,7,54.0,2.0,2.0,4,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.011111111380159855,0.4251968503937008,0.18079236158472317,0.0768723427210634,0.011111111380159855,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,54.0,48.0,6.0
8,8,46.0,0.0,2.0,4,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.014814814552664757,0.36220472440944884,0.13119226238452478,0.04751845724163889,0.014814814552664757,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,58.0,46.0,12.0
9,9,55.0,0.0,2.0,4,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.014814814552664757,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.014814814552664757,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,58.0,46.0,12.0
