,rid,onset,duration,ts,label
0,0,30.5,0.5,3,0.0
1,1,31.5,0.5,3,0.0
2,2,32.5,0.5,3,0.0
3,3,34.0,0.5,3,0.0
4,4,34.5,0.25,3,0.0
5,5,46.5,0.25,3,0.0
6,6,58.0,1.0,3,0.0
7,7,59.0,1.0,3,0.0
8,8,62.0,1.0,3,0.0
9,9,65.0,1.0,3,0.0
10,10,119.0,1.0,3,0.0
11,11,236.0,1.0,3,0.0
12,12,239.0,1.0,3,0.0
13,13,299.0,1.0,3,0.0
14,14,426.5,0.5,3,0.0
15,15,427.5,0.5,3,0.0
16,16,428.5,0.5,3,0.0
17,17,430.0,0.5,3,0.0
18,18,430.5,0.25,3,0.0
19,19,442.5,0.25,3,0.0
20,20,454.0,1.0,3,0.0
21,21,455.0,1.0,3,0.0
22,22,458.0,1.0,3,0.0
23,23,461.0,1.0,3,0.0
24,24,509.0,1.0,3,0.0
25,25,626.0,1.0,3,0.0
