,nid,pitch,onset,duration,ts,label,rid
0,0.0,72.0,0.0,1.5,6,1.0,
1,1.0,53.0,0.0,2.0,6,1.0,
2,2.0,56.0,0.0,2.0,6,1.0,
3,3.0,73.0,1.5,0.5,6,0.0,
4,4.0,72.0,2.0,1.0,6,0.0,
5,5.0,72.0,3.0,2.0,6,0.0,
6,6.0,77.0,5.0,1.0,6,0.0,
7,7.0,77.0,6.0,4.0,6,1.0,
8,8.0,67.0,6.0,1.5,6,1.0,
9,9.0,58.0,6.0,4.0,6,1.0,
10,10.0,61.0,6.0,4.0,6,1.0,
11,11.0,68.0,7.5,0.5,6,0.0,
12,12.0,67.0,8.0,1.0,6,0.0,
13,13.0,67.0,9.0,1.0,6,0.0,
14,14.0,75.0,10.0,1.0,6,0.0,
15,15.0,73.0,11.0,1.0,6,0.0,
16,16.0,72.0,12.0,6.0,6,1.0,
17,17.0,64.0,12.0,4.0,6,1.0,
18,18.0,67.0,12.0,4.0,6,1.0,
19,19.0,60.0,12.0,1.5,6,1.0,
20,20.0,61.0,13.5,0.5,6,0.0,
21,21.0,60.0,14.0,1.0,6,0.0,
22,22.0,60.0,15.0,3.0,6,0.0,
23,23.0,65.0,16.0,1.0,6,0.0,
24,24.0,68.0,16.0,1.0,6,0.0,
25,25.0,67.0,17.0,1.0,6,0.0,
26,26.0,70.0,17.0,1.0,6,0.0,
27,27.0,70.0,18.0,1.5,6,1.0,
28,28.0,67.0,18.0,1.5,6,1.0,
29,29.0,61.0,18.0,4.5,6,1.0,
30,30.0,49.0,18.0,6.0,6,1.0,
31,31.0,68.0,19.5,0.5,6,0.0,
32,32.0,65.0,19.5,0.5,6,0.0,
33,33.0,67.0,20.0,1.0,6,0.0,
34,34.0,64.0,20.0,1.0,6,0.0,
35,35.0,68.0,21.0,4.5,6,0.0,
36,36.0,65.0,21.0,4.5,6,0.0,
37,37.0,60.0,22.5,0.5,6,0.0,
38,38.0,59.0,23.0,1.0,6,0.0,
39,39.0,60.0,24.0,6.0,6,1.0,
40,40.0,48.0,24.0,6.0,6,1.0,
41,41.0,70.0,25.5,0.5,6,0.0,
42,42.0,67.0,25.5,0.5,6,0.0,
43,43.0,68.0,26.0,1.0,6,0.0,
44,44.0,65.0,26.0,1.0,6,0.0,
45,45.0,67.0,27.0,1.0,6,0.0,
46,46.0,64.0,27.0,1.0,6,0.0,
47,47.0,68.0,28.0,1.0,6,0.0,
48,48.0,65.0,28.0,1.0,6,0.0,
49,49.0,70.0,29.0,1.0,6,0.0,
50,50.0,67.0,29.0,1.0,6,0.0,
51,51.0,70.0,30.0,1.5,6,1.0,
52,52.0,67.0,30.0,1.5,6,1.0,
53,53.0,61.0,30.0,4.5,6,1.0,
54,54.0,49.0,30.0,6.0,6,1.0,
55,55.0,68.0,31.5,0.5,6,0.0,
56,56.0,65.0,31.5,0.5,6,0.0,
57,57.0,67.0,32.0,1.0,6,0.0,
58,58.0,64.0,32.0,1.0,6,0.0,
59,59.0,68.0,33.0,4.5,6,0.0,
60,60.0,65.0,33.0,4.5,6,0.0,
61,61.0,60.0,34.5,0.5,6,0.0,
62,62.0,59.0,35.0,1.0,6,0.0,
63,63.0,60.0,36.0,5.0,6,1.0,
64,64.0,48.0,36.0,6.0,6,1.0,
65,65.0,67.0,37.5,0.5,6,0.0,
66,66.0,64.0,37.5,0.5,6,0.0,
67,67.0,68.0,38.0,1.0,6,0.0,
68,68.0,65.0,38.0,1.0,6,0.0,
69,69.0,70.0,39.0,1.0,6,0.0,
70,70.0,67.0,39.0,1.0,6,0.0,
71,71.0,68.0,40.0,1.0,6,0.0,
72,72.0,65.0,40.0,1.0,6,0.0,
73,73.0,67.0,41.0,1.0,6,0.0,
74,74.0,64.0,41.0,1.0,6,0.0,
75,75.0,58.0,41.0,1.0,6,0.0,
76,76.0,67.0,42.0,3.0,6,1.0,
77,77.0,64.0,42.0,3.0,6,1.0,
78,78.0,58.0,42.0,3.0,6,1.0,
79,79.0,53.0,42.0,4.0,6,1.0,
80,80.0,65.0,45.0,1.0,6,0.0,
81,81.0,65.0,45.0,1.0,6,0.0,
82,82.0,56.0,45.0,1.0,6,0.0,
83,83.0,68.0,48.0,1.0,6,1.0,
84,84.0,51.0,48.0,0.5,6,1.0,
85,85.0,56.0,48.5,0.5,6,0.0,
86,86.0,60.0,49.0,0.5,6,0.0,
87,87.0,56.0,49.5,0.5,6,0.0,
