,rid,onset,duration,ts,label
0,0,46.0,1.0,6,0.0
1,1,47.0,1.0,6,0.0
2,2,121.0,1.0,6,0.0
3,3,124.0,1.0,6,0.0
4,4,130.0,1.0,6,0.0
5,5,133.0,1.0,6,0.0
6,6,142.0,1.0,6,0.0
7,7,143.0,1.0,6,0.0
8,8,154.0,1.0,6,0.0
9,9,155.0,1.0,6,0.0
10,10,160.0,1.0,6,0.0
11,11,161.0,1.0,6,0.0
12,12,166.0,1.0,6,0.0
13,13,167.0,1.0,6,0.0
14,14,190.0,1.0,6,0.0
15,15,191.0,1.0,6,0.0
16,16,250.0,1.0,6,0.0
17,17,251.0,1.0,6,0.0
18,18,337.0,1.0,6,0.0
19,19,340.0,1.0,6,0.0
20,20,346.0,1.0,6,0.0
21,21,349.0,1.0,6,0.0
22,22,358.0,1.0,6,0.0
23,23,359.0,1.0,6,0.0
