,rid,onset,duration,label
0,0,-1.5,-0.5,0.0
1,1,-0.5,-1.0,0.0
2,2,7.5,-1.0,0.0
3,3,17.0,-0.5,0.0
4,4,18.0,-1.0,0.0
5,5,22.0,-1.0,0.0
6,6,22.5,-1.0,0.0
7,7,23.0,-0.5,0.0
8,8,35.0,-0.5,0.0
9,9,41.0,-0.5,0.0
10,10,47.0,-0.5,0.0
11,11,50.0,-0.5,0.0
12,12,54.5,-1.0,0.0
13,13,58.0,-1.0,0.0
14,14,58.5,-1.0,0.0
15,15,59.0,-0.5,0.0
16,16,70.0,-1.0,0.0
17,17,71.0,-0.5,0.0
18,18,72.0,-1.0,0.0
19,19,73.0,-1.0,0.0
20,20,78.0,-1.0,0.0
21,21,82.0,-1.0,0.0
22,22,82.5,-1.0,0.0
23,23,83.0,-0.5,0.0
24,24,84.0,-1.0,0.0
25,25,87.0,-1.0,0.0
26,26,87.0,-0.5,0.0
27,27,88.0,-1.0,0.0
28,28,90.0,-1.0,0.0
29,29,94.5,-1.0,0.0
30,30,95.0,-1.0,0.0
31,31,97.0,-1.0,0.0
32,32,98.0,-1.0,0.0
33,33,100.0,-1.0,0.0
34,34,106.0,-1.0,0.0
35,35,106.5,-1.0,0.0
36,36,107.0,-0.5,0.0
37,37,118.0,-1.0,0.0
38,38,118.5,-0.5,0.0
39,39,119.5,-1.0,0.0
40,40,127.5,-1.0,0.0
41,41,137.0,-0.5,0.0
42,42,138.0,-1.0,0.0
43,43,142.0,-1.0,0.0
44,44,142.5,-1.0,0.0
45,45,143.0,-0.5,0.0
46,46,155.0,-0.5,0.0
47,47,161.0,-0.5,0.0
48,48,167.0,-0.5,0.0
49,49,170.0,-0.5,0.0
50,50,174.5,-1.0,0.0
51,51,178.0,-1.0,0.0
52,52,178.5,-1.0,0.0
53,53,179.0,-0.5,0.0
54,54,190.0,-1.0,0.0
