,nid,pitch,onset,duration,ts,label,duration_basis.duration,fermata_basis.fermata,grace_basis.grace_note,grace_basis.n_grace,grace_basis.grace_pos,loudness_direction_basis.f,loudness_direction_basis.p,onset_basis.onset,onset_basis.score_position,polynomial_pitch_basis.pitch,polynomial_pitch_basis.pitch^2,polynomial_pitch_basis.pitch^3,relative_score_position_basis.score_position,slur_basis.slur_incr,slur_basis.slur_decr,tempo_direction_basis.allegro,time_signature_basis.time_signature_num_1,time_signature_basis.time_signature_num_2,time_signature_basis.time_signature_num_3,time_signature_basis.time_signature_num_4,time_signature_basis.time_signature_num_5,time_signature_basis.time_signature_num_6,time_signature_basis.time_signature_num_7,time_signature_basis.time_signature_num_8,time_signature_basis.time_signature_num_9,time_signature_basis.time_signature_num_10,time_signature_basis.time_signature_num_11,time_signature_basis.time_signature_num_12,time_signature_basis.time_signature_num_other,time_signature_basis.time_signature_den_1,time_signature_basis.time_signature_den_2,time_signature_basis.time_signature_den_4,time_signature_basis.time_signature_den_8,time_signature_basis.time_signature_den_16,time_signature_basis.time_signature_den_other,vertical_neighbor_basis.n_total,vertical_neighbor_basis.n_above,vertical_neighbor_basis.n_below,vertical_neighbor_basis.highest_pitch,vertical_neighbor_basis.lowest_pitch,vertical_neighbor_basis.pitch_range
0,0,58.0,0.0,1.0,2,1.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4566929133858268,0.20856841713683427,0.09525171806249125,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,70.0,58.0,12.0
1,1,62.0,0.0,1.0,2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,70.0,58.0,12.0
2,2,70.0,0.0,0.75,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5511811023622047,0.3038006076012152,0.16744915379594538,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,70.0,58.0,12.0
3,3,72.0,0.75,0.125,2,0.0,0.125,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.003456221194937825,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.003456221194937825,0.75,0.25,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,0.0
4,4,74.0,0.875,0.125,2,0.0,0.125,0.0,0.0,0.0,0.0,1.0,0.0,0.875,0.004032257944345474,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.004032257944345474,0.875,0.125,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,0.0
5,5,60.0,1.0,1.0,2,1.0,0.16666666666666652,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.004608294926583767,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.004608294926583767,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,70.0,60.0,10.0
6,6,63.0,1.0,1.0,2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.004608294926583767,0.49606299212598426,0.24607849215698432,0.12207043311724419,0.004608294926583767,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,70.0,60.0,10.0
7,7,70.0,1.0,0.16666667,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.004608294926583767,0.5511811023622047,0.3038006076012152,0.16744915379594538,0.004608294926583767,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,70.0,60.0,10.0
8,8,69.0,1.1666666269302368,0.16666667,2,0.0,0.16666666666666674,0.0,0.0,0.0,0.0,1.0,0.0,1.1666666269302368,0.005376344081014395,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.005376344081014395,0.16666666666666666,0.8333333333333334,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,0.0
9,9,72.0,1.3333333730697632,0.16666667,2,0.0,0.16666666666666674,0.0,0.0,0.0,0.0,1.0,0.0,1.3333333730697632,0.006144393235445023,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.006144393235445023,0.3333333333333333,0.6666666666666667,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,0.0
