,rid,onset,duration,ts,label
0,0,2.5,0.5,3,0.0
1,1,5.5,0.5,3,0.0
2,2,10.5,0.5,3,0.0
3,3,26.5,0.5,3,0.0
4,4,29.5,0.5,3,0.0
5,5,34.5,0.5,3,0.0
6,6,37.5,0.25,3,0.0
7,7,40.0,0.5,3,0.0
8,8,40.5,0.25,3,0.0
9,9,43.5,0.5,3,0.0
10,10,50.5,0.5,3,0.0
11,11,53.5,0.5,3,0.0
12,12,58.5,0.5,3,0.0
13,13,74.5,0.5,3,0.0
14,14,77.5,0.5,3,0.0
15,15,82.5,0.5,3,0.0
16,16,85.5,0.25,3,0.0
17,17,88.0,0.5,3,0.0
18,18,88.5,0.25,3,0.0
19,19,91.5,0.5,3,0.0
20,20,134.5,0.5,3,0.0
21,21,137.5,0.5,3,0.0
22,22,142.5,0.5,3,0.0
23,23,145.5,0.25,3,0.0
24,24,148.0,0.75,3,0.0
25,25,151.5,0.5,3,0.0
26,26,194.5,0.5,3,0.0
27,27,197.5,0.5,3,0.0
28,28,202.5,0.5,3,0.0
29,29,208.0,0.5,3,0.0
30,30,209.0,0.5,3,0.0
31,31,210.0,0.5,3,0.0
32,32,211.0,0.5,3,0.0
33,33,214.5,0.5,3,0.0
34,34,217.5,0.25,3,0.0
35,35,220.0,0.75,3,0.0
36,36,223.5,0.5,3,0.0
37,37,236.5,0.5,3,0.0
