,rid,onset,duration,ts,label
0,0,118.0,1.0,3,0.0
1,1,119.0,1.0,3,0.0
2,2,217.0,1.0,3,0.0
3,3,223.0,1.0,3,0.0
4,4,235.0,1.0,3,0.0
5,5,247.0,1.0,3,0.0
6,6,259.0,1.0,3,0.0
7,7,260.0,1.0,3,0.0
8,8,262.0,1.0,3,0.0
9,9,263.0,1.0,3,0.0
10,10,289.0,1.0,3,0.0
11,11,298.0,1.0,3,0.0
12,12,301.0,1.0,3,0.0
13,13,304.0,1.0,3,0.0
14,14,305.0,1.0,3,0.0
15,15,412.0,1.0,3,0.0
16,16,421.0,1.0,3,0.0
17,17,424.0,1.0,3,0.0
18,18,427.0,1.0,3,0.0
19,19,430.0,1.0,3,0.0
20,20,433.0,1.0,3,0.0
21,21,436.0,1.0,3,0.0
22,22,439.0,1.0,3,0.0
23,23,508.0,1.0,3,0.0
24,24,509.0,1.0,3,0.0
25,25,510.0,3.0,3,0.0
26,26,631.0,1.0,3,0.0
27,27,632.0,1.0,3,0.0
28,28,730.0,1.0,3,0.0
29,29,736.0,1.0,3,0.0
30,30,748.0,1.0,3,0.0
31,31,760.0,1.0,3,0.0
32,32,772.0,1.0,3,0.0
33,33,773.0,1.0,3,0.0
34,34,775.0,1.0,3,0.0
35,35,776.0,1.0,3,0.0
36,36,802.0,1.0,3,0.0
37,37,811.0,1.0,3,0.0
38,38,814.0,1.0,3,0.0
39,39,817.0,1.0,3,0.0
40,40,818.0,1.0,3,0.0
41,41,820.0,1.0,3,0.0
42,42,821.0,1.0,3,0.0
43,43,822.0,3.0,3,0.0
44,44,826.0,1.0,3,0.0
45,45,827.0,1.0,3,0.0
46,46,828.0,3.0,3,0.0
