,rid,onset,duration,ts,label
0,0,-1.0,0.0,3,0.0
1,1,23.0,0.0,3,0.0
2,2,43.0,0.0,3,0.0
3,3,46.0,0.0,3,0.0
4,4,47.0,0.0,3,0.0
5,5,60.0,0.0,3,0.0
6,6,63.0,0.0,3,0.0
7,7,66.0,0.0,3,0.0
8,8,67.0,0.0,3,0.0
9,9,68.0,0.0,3,0.0
10,10,70.0,0.0,3,0.0
11,11,71.0,0.0,3,0.0
12,12,72.0,2.0,3,0.0
13,13,88.0,0.0,3,0.0
14,14,89.0,0.0,3,0.0
15,15,102.0,0.0,3,0.0
16,16,103.0,0.0,3,0.0
17,17,104.0,0.0,3,0.0
18,18,105.0,0.0,3,0.0
19,19,106.0,0.0,3,0.0
20,20,107.0,0.0,3,0.0
21,21,108.0,0.0,3,0.0
22,22,109.0,0.0,3,0.0
23,23,110.0,0.0,3,0.0
24,24,112.0,0.0,3,0.0
25,25,113.0,0.0,3,0.0
26,26,114.0,2.0,3,0.0
27,27,130.0,1.0,3,0.0
28,28,138.0,0.0,3,0.0
29,29,150.0,0.0,3,0.0
30,30,162.0,0.0,3,0.0
31,31,172.0,-0.5,3,0.0
32,32,173.0,0.0,3,0.0
33,33,174.0,0.0,3,0.0
34,34,175.0,0.0,3,0.0
35,35,178.0,-0.5,3,0.0
36,36,179.0,0.0,3,0.0
37,37,180.0,0.0,3,0.0
38,38,181.0,0.0,3,0.0
39,39,184.0,-0.5,3,0.0
40,40,185.0,0.0,3,0.0
41,41,186.0,0.0,3,0.0
42,42,187.0,-0.5,3,0.0
43,43,188.0,0.0,3,0.0
44,44,189.0,0.0,3,0.0
45,45,190.0,-0.5,3,0.0
46,46,191.0,0.0,3,0.0
47,47,192.0,0.0,3,0.0
48,48,193.0,-0.5,3,0.0
49,49,194.0,0.0,3,0.0
50,50,213.0,0.0,3,0.0
51,51,220.0,-0.5,3,0.0
52,52,223.0,-0.5,3,0.0
53,53,226.0,-0.5,3,0.0
54,54,229.0,-0.5,3,0.0
55,55,232.0,0.0,3,0.0
56,56,233.0,0.0,3,0.0
57,57,234.0,-0.5,3,0.0
58,58,235.0,0.0,3,0.0
59,59,236.0,0.0,3,0.0
60,60,237.0,-0.5,3,0.0
61,61,238.0,0.0,3,0.0
62,62,239.0,0.0,3,0.0
63,63,240.0,-0.5,3,0.0
64,64,241.0,0.0,3,0.0
65,65,242.0,0.0,3,0.0
66,66,244.0,-0.5,3,0.0
67,67,247.0,-0.5,3,0.0
68,68,250.0,-0.5,3,0.0
69,69,253.0,-0.5,3,0.0
70,70,256.0,0.0,3,0.0
71,71,257.0,0.0,3,0.0
72,72,258.0,-0.5,3,0.0
73,73,259.0,0.0,3,0.0
74,74,260.0,0.0,3,0.0
75,75,261.0,-0.5,3,0.0
76,76,262.0,0.0,3,0.0
77,77,263.0,0.0,3,0.0
78,78,264.0,-0.5,3,0.0
79,79,265.0,0.0,3,0.0
80,80,266.0,0.0,3,0.0
81,81,268.0,0.0,3,0.0
82,82,269.0,0.0,3,0.0
83,83,274.0,0.0,3,0.0
84,84,275.0,0.0,3,0.0
85,85,280.0,0.0,3,0.0
86,86,281.0,0.0,3,0.0
87,87,287.0,0.0,3,0.0
88,88,304.0,0.0,3,0.0
89,89,305.0,0.0,3,0.0
90,90,306.0,0.0,3,0.0
91,91,306.0,2.0,3,0.0
92,92,307.0,0.0,3,0.0
93,93,332.0,0.0,3,0.0
94,94,352.0,0.0,3,0.0
95,95,355.0,0.0,3,0.0
96,96,356.0,0.0,3,0.0
97,97,369.0,0.0,3,0.0
98,98,372.0,0.0,3,0.0
99,99,375.0,0.0,3,0.0
100,100,376.0,0.0,3,0.0
101,101,377.0,0.0,3,0.0
102,102,379.0,0.0,3,0.0
103,103,380.0,0.0,3,0.0
104,104,381.0,2.0,3,0.0
105,105,397.0,0.0,3,0.0
106,106,398.0,0.0,3,0.0
107,107,411.0,0.0,3,0.0
108,108,412.0,0.0,3,0.0
109,109,413.0,0.0,3,0.0
110,110,414.0,0.0,3,0.0
111,111,415.0,0.0,3,0.0
112,112,416.0,0.0,3,0.0
113,113,417.0,0.0,3,0.0
114,114,418.0,0.0,3,0.0
115,115,419.0,0.0,3,0.0
116,116,421.0,0.0,3,0.0
117,117,422.0,0.0,3,0.0
118,118,423.0,2.0,3,0.0
119,119,426.0,0.0,3,0.0
120,120,430.0,0.0,3,0.0
121,121,431.0,0.0,3,0.0
122,122,432.0,2.0,3,0.0
123,123,442.0,0.0,3,0.0
124,124,443.0,0.0,3,0.0
125,125,445.0,0.0,3,0.0
126,126,446.0,-0.5,3,0.0
127,127,450.0,0.0,3,0.0
128,128,451.0,0.0,3,0.0
129,129,452.0,-0.5,3,0.0
130,130,463.0,0.0,3,0.0
131,131,464.0,0.0,3,0.0
132,132,465.0,2.0,3,0.0
133,133,475.0,0.0,3,0.0
134,134,476.0,0.0,3,0.0
135,135,478.0,0.0,3,0.0
136,136,479.0,-0.5,3,0.0
137,137,483.0,0.0,3,0.0
138,138,484.0,0.0,3,0.0
139,139,485.0,-0.5,3,0.0
140,140,489.0,0.0,3,0.0
141,141,490.0,0.0,3,0.0
142,142,491.0,-0.5,3,0.0
