,rid,onset,duration,ts,label
0,0,-1.0,0.0,2,0.0
1,1,0.5,-0.5,2,0.0
2,2,2.5,-0.5,2,0.0
3,3,15.0,0.0,2,0.0
4,4,19.0,0.0,2,0.0
5,5,23.0,0.0,2,0.0
6,6,27.0,0.0,2,0.0
7,7,31.0,0.0,2,0.0
8,8,32.5,-0.5,2,0.0
9,9,34.5,-0.5,2,0.0
10,10,47.0,0.0,2,0.0
11,11,63.0,0.0,2,0.0
12,12,79.0,0.0,2,0.0
13,13,95.0,0.0,2,0.0
14,14,111.0,0.0,2,0.0
15,15,127.0,0.0,2,0.0
16,16,128.5,-0.5,2,0.0
17,17,130.5,-0.5,2,0.0
18,18,143.0,0.0,2,0.0
19,19,147.0,0.0,2,0.0
20,20,151.0,0.0,2,0.0
21,21,155.0,0.0,2,0.0
22,22,159.0,0.0,2,0.0
23,23,160.5,-0.5,2,0.0
24,24,162.5,-0.5,2,0.0
25,25,175.0,0.0,2,0.0
26,26,176.5,-0.5,2,0.0
27,27,184.5,-0.5,2,0.0
28,28,254.0,0.0,2,0.0
