,rid,onset,duration,label
0,0,7.25,0.25,0.0
1,1,19.25,0.25,0.0
2,2,23.25,0.25,0.0
3,3,27.0,1.0,0.0
4,4,31.25,0.25,0.0
5,5,35.25,0.25,0.0
6,6,58.25,0.25,0.0
7,7,59.25,0.25,0.0
8,8,60.25,0.25,0.0
9,9,63.25,0.25,0.0
10,10,63.5,0.5,0.0
11,11,71.25,0.25,0.0
12,12,83.25,0.25,0.0
13,13,91.0,1.0,0.0
14,14,113.5,0.5,0.0
15,15,117.5,0.5,0.0
16,16,167.25,0.25,0.0
17,17,179.25,0.25,0.0
18,18,183.25,0.25,0.0
19,19,220.25,0.25,0.0
20,20,221.25,0.25,0.0
21,21,222.25,0.75,0.0
22,22,224.25,0.25,0.0
23,23,225.25,0.25,0.0
24,24,226.5,0.5,0.0
25,25,227.0,1.0,0.0
